PLZ2;Latitude;Longitude
01;51,11099;13,775444
02;51,158478;14,628034
03;51,742715;14,22713
04;51,295356;12,628618
06;51,54449;11,925312
07;50,731701;11,77605
08;50,571604;12,450574
09;50,783252;13,001685
10;52,511198;13,386948
12;52,461627;13,468237
13;52,571306;13,343227
14;52,397058;12,947216
15;52,293252;13,933558
16;52,894356;13,27129
17;53,683657;13,420558
18;54,175418;12,561188
19;53,462299;11,499615
20;53,565032;9,989128
21;53,447606;9,895271
22;53,619276;10,074403
23;53,944939;10,734995
24;54,381322;9,822699
25;54,168273;9,256415
26;53,333499;7,748753
27;53,186025;8,859327
28;53,098075;8,81279
29;52,874349;10,541881
30;52,384751;9,728414
31;52,281761;9,526952
32;52,144218;8,800465
33;51,892461;8,582718
34;51,256998;9,341841
35;50,696746;8,603244
36;50,698473;9,72246
37;51,564184;9,930221
38;52,205177;10,649339
39;52,239252;11,627154
40;51,22797;6,820622
41;51,168047;6,495252
42;51,234576;7,144084
44;51,513173;7,350066
45;51,49746;7,05303
46;51,667032;6,758593
47;51,468139;6,545311
48;52,084399;7,432921
49;52,501626;7,864034
50;50,932692;6,868904
51;50,976286;7,249186
52;50,809732;6,276142
53;50,637099;7,0753
54;49,918385;6,679249
55;49,87519;7,825491
56;50,334146;7,495158
57;50,82154;7,891873
58;51,33487;7,584828
59;51,569755;8,018183
60;50,120683;8,669492
61;50,277448;8,662486
63;50,038043;9,108374
64;49,788494;8,751683
65;50,185923;8,219929
66;49,33062;7,188485
67;49,512579;8,064642
68;49,457429;8,524343
69;49,423849;8,769455
70;48,779456;9,176423
71;48,831128;9,152662
72;48,415034;9,028492
73;48,759447;9,736529
74;49,20733;9,362047
75;48,885328;8,720566
76;49,027372;8,311273
77;48,446931;8,027072
78;48,003608;8,69941
79;47,864535;7,899416
80;48,16498;11,549782
81;48,123268;11,567403
82;47,907761;11,241283
83;47,867874;12,269489
84;48,423773;12,416049
85;48,426851;11,622826
86;48,384755;10,825342
87;47,847843;10,392684
88;47,886787;9,639379
89;48,444678;10,128606
90;49,43656;11,053989
91;49,411101;10,839257
92;49,483326;12,015047
93;49,072075;12,298236
94;48,783229;13,091217
95;50,072391;11,82006
96;50,09186;10,999596
97;49,933168;9,981032
98;50,592949;10,738612
99;51,066929;10,839734
